GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-Value	P-adj
gene-PA0526	716.835074446286	-3.8544213761761	0.151472004643022	-25.4464274455199	7.73246951494253e-143	1.8761412875729e-140
gene-PA3924	966.201603600642	2.67406255680579	0.106369156194691	25.1394544477852	1.84307803263848e-139	4.24829486523171e-137
gene-PA4661	18266.5227178962	2.56954017080607	0.102481322828858	25.0732533487801	9.73895444085389e-139	2.13793237963507e-136
gene-PA1416	704.293087987	-3.47026742402196	0.138704038568697	-25.0192240963713	3.7769944849804e-138	7.91452026170893e-136
gene-PA4578	5951.68096748737	2.49861746444477	0.0999299066927489	25.0037005651089	5.57233117140307e-138	1.11688898696383e-135
gene-PA0622	1374.59595594269	2.92939825573818	0.117731172613623	24.8820952913808	1.16263739553378e-136	2.23323266392114e-134
gene-PA3990	1016.18335947498	-4.41734356354824	0.177635361068506	-24.8674787327095	1.6734051229032e-136	3.0857590466335e-134
gene-PA4366	10560.654956395	2.07466606001533	0.0834545037245334	24.8598453938854	2.02376436809677e-136	3.58828989881773e-134
gene-PA2371	1172.41388932167	2.56330239421382	0.104782616677458	24.4630500315159	3.65539660650545e-132	6.2412512429593e-130
gene-PA5288	6676.8190981772	2.19930618595392	0.0909525746713515	24.1808018508646	3.54250664063741e-129	5.83248414762088e-127
gene-PA2758	745.971786697045	2.74379710696007	0.11375852356678	24.1194859157026	1.56137750268736e-128	2.48205182323749e-126
gene-PA0762	16185.1562025004	-2.00136619612889	0.0837097291596172	-23.9084060624864	2.50432233343616e-126	3.84830865238023e-124
gene-PA5470	437.140965567858	-3.97189980660725	0.16657422821608	-23.844623800117	1.15141689786672e-125	1.71226835456954e-123
gene-PA4525	37209.2517903885	1.91179352250058	0.0805915239712408	23.722017258078	2.13728419501364e-124	3.07902504344153e-122
gene-PA0633	826.798640140778	3.02613281303276	0.127992422522375	23.6430622484994	1.39114635870611e-123	1.94338930716218e-121
gene-PA0763	17452.4316456794	-1.86849872008696	0.0796865437527468	-23.4481084520942	1.38196925678034e-121	1.8737877275757e-119
gene-PA3150	2633.16070458619	2.04349548688741	0.0873016651920809	23.4072910567206	3.60205005359937e-121	4.74441449916945e-119
gene-PA0729	3437.51567718391	-2.55120854985556	0.109672195385212	-23.262127113392	1.07238985355095e-119	1.37325478468607e-117
gene-PA4762	1877.08335816898	-3.03715183002151	0.131185437357746	-23.1515928230596	1.40102463893397e-118	1.74560096905016e-116
gene-PA1244	2705.71221325985	2.35297647398534	0.103012763583443	22.8416012941869	1.77114891254694e-115	2.1486832860109e-113
gene-PA2813	1444.57002037906	2.15060209184151	0.0947686553561122	22.6931793403652	5.23160475758236e-114	6.18402511088581e-112
gene-PA0623	464.401463228689	3.03302069732847	0.13393566515597	22.6453550948992	1.55018626583185e-113	1.78658967137121e-111
gene-PA3712	3091.24515494887	1.98925897089939	0.0893582871018194	22.2616058948481	8.7071899902713e-110	9.79027947686602e-108
gene-PA3049	29129.9286370175	4.11802630082789	0.185126313681643	22.2444136596894	1.27750951997398e-109	1.40221878263811e-107
gene-PA2367	422.733962243034	3.57071161855801	0.160952760842549	22.1848423094216	4.81116254887735e-109	5.15801380240106e-107
gene-PA4410	1515.02215823662	2.47185709458408	0.111643908324098	22.140546060143	1.28668418710588e-108	1.34809411421775e-106
gene-PA3692	5760.58620678736	2.689489771367	0.122356417531122	21.980782255928	4.39818361222384e-107	4.50569476718931e-105
gene-PA2373	883.067109004531	2.42807592232606	0.110752868131534	21.9233683360903	1.55514053426437e-106	1.55852127455624e-104
gene-PA2759	2932.36063930554	3.19594928457862	0.145952416365327	21.8972002257159	2.76241710770887e-106	2.70951975883785e-104
gene-PA0737	518.27518465825	-2.84078043804202	0.131008981838378	-21.6838601306482	2.91386219364333e-104	2.79852181514495e-102
